category,bin_lo,taker_side,vwar_pp,contracts,n,mid
Weather,0.45,no,-0.459068560258847,2184983.0,73244,0.47500000000000003
Weather,0.45,yes,-1.2519534917565371,4521263.0,144371,0.47500000000000003
Weather,0.5,no,1.6221173909590967,2216048.0,68956,0.525
Weather,0.5,yes,-0.8975153703277603,3802619.0,126018,0.525
Weather,0.55,no,1.1217525813063225,1551540.0,51264,0.5750000000000001
Weather,0.55,yes,-2.512551137701734,3205805.0,108857,0.5750000000000001
Weather,0.6,no,1.733431868159304,1442468.0,42702,0.625
Weather,0.6,yes,-5.286105765309994,2869334.0,87029,0.625
Weather,0.65,no,4.734529849520706,1156970.0,34135,0.675
Weather,0.65,yes,-8.294567614175811,2580450.0,70645,0.675
Weather,0.7,no,3.5791721173529982,1136707.0,30567,0.725
Weather,0.7,yes,-6.923821454745303,2183200.0,60749,0.725
Weather,0.75,no,3.9764119435908682,1064437.0,26558,0.775
Weather,0.75,yes,-9.126005485912495,2140756.0,51821,0.775
Weather,0.8,no,0.4706870472828393,1195973.0,25544,0.8250000000000001
Weather,0.8,yes,-8.548940765707586,1951032.0,44717,0.8250000000000001
Weather,0.85,no,0.22459638168535329,1338579.0,23205,0.875
Weather,0.85,yes,-7.945382349789,2248687.0,42433,0.875
Weather,0.9,no,-2.0166781899045194,2136263.0,25470,0.925
Weather,0.9,yes,-4.252466415115493,2639357.0,41903,0.925
Weather,0.95,no,1.3886597262866132,16488050.0,72911,0.975
Weather,0.95,yes,-1.8086178861462603,9978874.0,71907,0.975
